!
!
# Shaft  RC  6
# Hole   RC  7
!
Key                      RC_1           RC_1           RC_2           RC_2           RC_3           RC_3           RC_4           RC_4           RC_5           RC_5           RC_6           RC_6           RC_7           RC_7           RC_8           RC_8           RC_9           RC_9             LC_1            LC_1          LC_2            LC_2          LC_3            LC_3          LC_4            LC_4          LC_5            LC_5          LC_6            LC_6          LC_7            LC_7          LC_8            LC_8          LC_9            LC_9          LC_10           LC_10         LC_11           LC_11           LT_1            LT_1          LT_2            LT_2          LT_3           LT_3           LT_4           LT_4           LT_5           LT_5           LT_6            LT_6              LN_1           LN_1           LN_2           LN_2           LN_3           LN_3           FN_1        FN_1        FN_2        FN_2        FN_3        FN_3        FN_4        FN_4        FN_5        FN_5  
Subkey                   H_5            g_4            H_6            g_5            H_7            f_6            H_8            f_7            H_8            e_7            H_9            e_8            H_9            d_8            H_10           c_9            H_11           E_0              H_6             h_5           H_7             h_6           H_8             h_7           H_10            h_9           H_7             g_6           H_9             f_8           H_10            e_9           H_10            d_9           H_11            c_10          H_12            E_0           H_13            E_0             H_7             js_6          H_8             js_7          H_7            k_6            H_8            k_7            H_7            n_6            H_7             n_7               H_6            n_5            H_7            p_6            H_7            r_6            H_6         E_0         H_7         s_6         H_7         t_6         H_7         u_6         H_8         x_7   
Basic size(inch)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.56~0.71                0.0003         -0.00025       0.0004         -0.00025       0.0007         -0.0006        0.001          -0.0006        0.001          -0.0012        0.0016         -0.0012        0.0016         -0.002         0.0028        -0.0035         0.004          -0.006           0.0004          0             0.0007          0             0.001           0             0.0028          0             0.0007         -0.0025        0.0016         -0.0006        0.0028         -0.0012        0.0028         -0.002         0.004          -0.0035        0.007          -0.006         0.01           -0.008           0.0007          0.0002        0.001           0.00035       0.0007         0.0005         0.001          0.0008         0.0007         0.0009         0.0007          0.0012            0.0004         0.0008         0.0007         0.0011         0.0007         0.0014         0.0004      0.0009      0.0007      0.0016      E           E           0.0007      0.0018      0.001       0.0025
0.56~0.71                0              -0.00045       0              -0.00055       0              -0.001         0              -0.0013        0              -0.019         0              -0.0022        0              -0.003         0             -0.0051         0              -0.0088          0              -0.0003        0              -0.0004        0              -0.0007        0              -0.0016        0              -0.00065       0              -0.0016        0              -0.0028        0              -0.0036        0              -0.0063        0              -0.013         0              -0.018           0              -0.0002        0              -0.00035       0              0.0001         0              0.0001         0              0.0005         0               0.0005            0              0.0004         0              0.0007         0              0.001          0           0.0006      0           0.0012      E           E           0           0.0014      0           0.0018
0.71~0.95                0.0004         -0.0003        0.0005         -0.0003        0.0008         -0.0008        0.0012         -0.0008        0.0012         -0.0016        0.002          -0.0016        0.002          -0.0025        0.0035        -0.0045         0.005          -0.007           0.0005          0             0.0008          0             0.0012          0             0.0035          0             0.0008         -0.0003        0.002          -0.0008        0.0035         -0.0016        0.0035         -0.0025        0.005          -0.0045        0.008          -0.007         0.012          -0.01            0.0008          0.00025       0.0012          0.0004        0.0008         0.0006         0.0012         0.0009         0.0008         0.0011         0.0008          0.0014            0.0005         0.001          0.0008         0.0013         0.0008         0.0017         0.0005      0.0011      0.0008      0.0019      E           E           0.0008      0.0021      0.0012      0.003 
0.71~0.95                0              -0.00055       0              -0.0007        0              -0.0013        0              -0.0016        0              -0.0024        0              -0.0028        0              -0.0037        0             -0.0065         0              -0.0105          0              -0.0004        0              -0.0005        0              -0.0008        0              -0.002         0              -0.0008        0              -0.002         0              -0.0036        0              -0.0045        0              -0.008         0              -0.015         0              -0.022           0              -0.00025       0              -0.0004        0              0.0001         0              0.0001         0              0.0006         0               0.0006            0              0.0005         0              0.0008         0              0.0012         0           0.0007      0           0.0014      E           E           0           0.0016      0           0.0022
0.95~1.19                0.0004         -0.0003        0.0005         -0.0003        0.0008         -0.0008        0.0012         -0.0008        0.0012         -0.0016        0.002          -0.0016        0.002          -0.0025        0.0035        -0.0045         0.005          -0.007           0.0005          0             0.0008          0             0.0012          0             0.0035          0             0.0008         -0.0003        0.002          -0.0008        0.0035         -0.0016        0.0035         -0.0025        0.005          -0.0045        0.008          -0.007         0.012          -0.01            0.0008          0.00025       0.0012          0.0004        0.0008         0.0006         0.0012         0.0009         0.0008         0.0011         0.0008          0.0014            0.0005         0.001          0.0008         0.0013         0.0008         0.0017         0.0005      0.0012      0.0008      0.0019      0.0008      0.0021      0.0008      0.0023      0.0012      0.0033
0.95~1.19                0              -0.00055       0              -0.0007        0              -0.0013        0              -0.0016        0              -0.0024        0              -0.0028        0              -0.0037        0             -0.0065         0              -0.0105          0              -0.0004        0              -0.0005        0              -0.0008        0              -0.002         0              -0.0008        0              -0.002         0              -0.0036        0              -0.0045        0              -0.008         0              -0.015         0              -0.022           0              -0.00025       0              -0.0004        0              0.0001         0              0.0001         0              0.0006         0               0.0006            0              0.0005         0              0.0008         0              0.0012         0           0.0008      0           0.0014      0           0.0016      0           0.0018      0           0.0025
1.19~1.58                0.0004         -0.0004        0.0006         -0.0004        0.001          -0.001         0.0016         -0.001         0.0016         -0.002         0.0025         -0.002         0.0025         -0.003         0.004         -0.005          0.006          -0.008           0.0006          0             0.001           0             0.0016          0             0.004           0             0.001          -0.0004        0.0025         -0.001         0.004          -0.002         0.004          -0.003         0.006          -0.005         0.01           -0.008         0.016          -0.012           0.001           0.0003        0.0016          0.0005        0.001          0.0007         0.0016         0.0011         0.001          0.0013         0.001           0.0017            0.0006         0.0011         0.0010         0.0016         0.001          0.002          0.0006      0.0013      0.001       0.0024      0.001       0.0026      0.001       0.0031      0.0016      0.004 
1.19~1.58                0              -0.0007        0              -0.0008        0              -0.0016        0              -0.002         0              -0.003         0              -0.0036        0              -0.0046        0             -0.0075         0              -0.012           0              -0.0004        0              -0.0006        0              -0.001         0              -0.0025        0              -0.001         0              -0.0026        0              -0.0045        0              -0.0055        0              -0.009         0              -0.018         0              -0.028           0              -0.0003        0              -0.0005        0              0.0001         0              0.0001         0              0.0007         0               0.0007            0              0.0006         0              0.001          0              0.0014         0           0.0009      0           0.0018      0           0.002       0           0.0025      0           0.003 
1.58~1.97                0.0004         -0.0004        0.0006         -0.0004        0.001          -0.001         0.0016         -0.001         0.0016         -0.002         0.0025         -0.002         0.0025         -0.003         0.004         -0.005          0.006          -0.008           0.0006          0             0.001           0             0.0016          0             0.004           0             0.001          -0.0004        0.0025         -0.001         0.004          -0.002         0.004          -0.003         0.006          -0.005         0.01           -0.008         0.016          -0.012           0.001           0.0003        0.0016          0.0005        0.001          0.0007         0.0016         0.0011         0.001          0.0013         0.001           0.0017            0.0006         0.0011         0.0010         0.0016         0.001          0.002          0.0006      0.0014      0.001       0.0024      0.001       0.0028      0.001       0.0034      0.0016      0.005 
1.58~1.97                0              -0.0007        0              -0.0008        0              -0.0016        0              -0.002         0              -0.003         0              -0.0036        0              -0.0046        0             -0.0075         0              -0.012           0              -0.0004        0              -0.0006        0              -0.001         0              -0.0025        0              -0.001         0              -0.0026        0              -0.0045        0              -0.0055        0              -0.009         0              -0.018         0              -0.028           0              -0.0003        0              -0.0005        0              0.0001         0              0.0001         0              0.0007         0               0.0007            0              0.0006         0              0.001          0              0.0014         0           0.001       0           0.0018      0           0.0022      0           0.0028      0           0.004 
